collector_id,collector_name,manager_name,region,active_flag
1,Latoya Robbins,Jonathan Wilkerson,Central,Y
2,Brenda Taylor,Kimberly Burgess,Central,Y
3,Kevin Cox,Brenda Snyder PhD,West,Y
4,Brittany Moore,Linda Cruz,East,N
5,Julie King,Terri Frazier,West,Y
6,Stephen Potter,Gina Carter,Central,Y
7,Aaron Bowen,Valerie Gill,West,Y
8,Ashley Garrett,Katie Gonzalez,West,Y
9,Christopher Ashley,Tamara George,West,Y
10,Brian Cox DVM,Cynthia Allen,West,Y
11,Angela Dennis,Vanessa Patel,East,Y
12,Matthew Arroyo,Joseph Obrien,Central,Y
13,Tanya Campos,Michelle Ross,East,Y
14,Jacqueline Lam,David Brown,Central,Y
15,Julian Chapman,Michael Brown,Central,Y
16,Andre Rivera,Diana Washington,East,Y
17,Miranda Khan,Dana Kennedy,Central,Y
18,Brandon Hopkins,Jason Shields,West,Y
19,Matthew Lucas,Nicholas Mcbride,West,Y
20,Corey Herrera,Clifford Ford,West,Y
